"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Feb 19 14:54:55 GMT 2024","Mon Feb 19 14:54:55 GMT 2024","2","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","forgotPassword","forgotPassword",""
"broken","Mon Feb 19 14:54:55 GMT 2024","Mon Feb 19 14:54:55 GMT 2024","2","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","beforelogin","beforelogin",""
"skipped","Mon Feb 19 14:54:56 GMT 2024","Mon Feb 19 14:54:56 GMT 2024","0","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Crediantials."
"skipped","Mon Feb 19 14:54:55 GMT 2024","Mon Feb 19 14:54:55 GMT 2024","1","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCase","loginTestCase","Check the user able to login with valid Crediantials."
