"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Feb 19 16:40:07 GMT 2024","Mon Feb 19 16:40:07 GMT 2024","0","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Crediantials."
"passed","Mon Feb 19 16:03:03 GMT 2024","Mon Feb 19 16:03:04 GMT 2024","1189","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Crediantials."
"passed","Mon Feb 19 16:03:34 GMT 2024","Mon Feb 19 16:03:35 GMT 2024","1029","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Crediantials."
"broken","Mon Feb 19 16:40:06 GMT 2024","Mon Feb 19 16:40:06 GMT 2024","2","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","beforelogin","beforelogin",""
"skipped","Mon Feb 19 16:40:06 GMT 2024","Mon Feb 19 16:40:06 GMT 2024","1","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","forgotPassword","forgotPassword",""
"skipped","Mon Feb 19 16:40:06 GMT 2024","Mon Feb 19 16:40:06 GMT 2024","1","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCase","loginTestCase","Check the user able to login with valid Crediantials."
"passed","Mon Feb 19 16:03:14 GMT 2024","Mon Feb 19 16:03:14 GMT 2024","834","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Crediantials."
"passed","Mon Feb 19 16:03:22 GMT 2024","Mon Feb 19 16:03:24 GMT 2024","1211","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Crediantials."
"broken","Mon Feb 19 16:03:45 GMT 2024","Mon Feb 19 16:04:07 GMT 2024","21858","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Crediantials."
