"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 19 15:39:39 GMT 2024","Mon Feb 19 15:39:40 GMT 2024","1236","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","forgotPassword","forgotPassword",""
"passed","Mon Feb 19 15:40:16 GMT 2024","Mon Feb 19 15:40:16 GMT 2024","551","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Crediantials."
"passed","Mon Feb 19 15:40:24 GMT 2024","Mon Feb 19 15:40:25 GMT 2024","552","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Crediantials."
"passed","Mon Feb 19 15:40:20 GMT 2024","Mon Feb 19 15:40:21 GMT 2024","546","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Crediantials."
"passed","Mon Feb 19 15:40:11 GMT 2024","Mon Feb 19 15:40:12 GMT 2024","794","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Crediantials."
"broken","Mon Feb 19 15:39:44 GMT 2024","Mon Feb 19 15:40:07 GMT 2024","23070","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCase","loginTestCase","Check the user able to login with valid Crediantials."
"broken","Mon Feb 19 15:40:29 GMT 2024","Mon Feb 19 15:40:51 GMT 2024","22036","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Crediantials."
