"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Feb 19 16:39:08 GMT 2024","Mon Feb 19 16:39:31 GMT 2024","23197","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCase","loginTestCase","Check the user able to login with valid Crediantials."
"broken","Mon Feb 19 16:39:53 GMT 2024","Mon Feb 19 16:40:15 GMT 2024","21926","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Crediantials."
"passed","Mon Feb 19 16:39:44 GMT 2024","Mon Feb 19 16:39:45 GMT 2024","524","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Crediantials."
"passed","Mon Feb 19 16:39:04 GMT 2024","Mon Feb 19 16:39:05 GMT 2024","1179","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","forgotPassword","forgotPassword",""
"passed","Mon Feb 19 16:39:48 GMT 2024","Mon Feb 19 16:39:49 GMT 2024","529","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Crediantials."
"passed","Mon Feb 19 16:39:36 GMT 2024","Mon Feb 19 16:39:37 GMT 2024","758","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Crediantials."
"passed","Mon Feb 19 16:39:40 GMT 2024","Mon Feb 19 16:39:41 GMT 2024","522","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Crediantials."
