"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 19 15:53:12 GMT 2024","Mon Feb 19 15:53:14 GMT 2024","1403","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","forgotPassword","forgotPassword",""
"broken","Mon Feb 19 15:53:18 GMT 2024","Mon Feb 19 15:53:41 GMT 2024","23138","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCase","loginTestCase","Check the user able to login with valid Crediantials."
"passed","Mon Feb 19 15:53:55 GMT 2024","Mon Feb 19 15:53:56 GMT 2024","610","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Crediantials."
"passed","Mon Feb 19 15:53:46 GMT 2024","Mon Feb 19 15:53:46 GMT 2024","841","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Crediantials."
"passed","Mon Feb 19 15:53:50 GMT 2024","Mon Feb 19 15:53:51 GMT 2024","611","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Crediantials."
"passed","Mon Feb 19 15:54:00 GMT 2024","Mon Feb 19 15:54:00 GMT 2024","618","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Crediantials."
"broken","Mon Feb 19 15:54:04 GMT 2024","Mon Feb 19 15:54:27 GMT 2024","22507","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Crediantials."
