"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 19 16:41:37 GMT 2024","Mon Feb 19 16:41:38 GMT 2024","537","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Crediantials."
"passed","Mon Feb 19 16:41:15 GMT 2024","Mon Feb 19 16:41:16 GMT 2024","1175","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","forgotPassword","forgotPassword",""
"passed","Mon Feb 19 16:41:41 GMT 2024","Mon Feb 19 16:41:42 GMT 2024","531","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Crediantials."
"broken","Mon Feb 19 16:41:45 GMT 2024","Mon Feb 19 16:42:07 GMT 2024","21957","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Crediantials."
"passed","Mon Feb 19 16:41:28 GMT 2024","Mon Feb 19 16:41:29 GMT 2024","757","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Crediantials."
"passed","Mon Feb 19 16:41:20 GMT 2024","Mon Feb 19 16:41:23 GMT 2024","3844","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCase","loginTestCase","Check the user able to login with valid Crediantials."
"passed","Mon Feb 19 16:41:32 GMT 2024","Mon Feb 19 16:41:33 GMT 2024","533","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Crediantials."
